from,to,weight
0,48,5
1,42,10
1,41,10
1,0,5
1,17,10
2,56,10
2,17,5
16,2,10
3,48,5
3,41,5
3,9,10
3,47,5
3,0,5
3,32,5
3,1,5
4,48,5
4,37,5
4,25,5
4,29,5
4,31,5
22,4,10
7,9,10
7,31,5
40,9,10
9,48,5
39,9,10
9,29,5
9,37,5
9,47,5
10,13,10
10,15,10
10,7,5
10,5,5
11,16,10
12,5,5
13,39,5
13,48,5
13,32,5
13,25,5
13,43,10
13,0,5
13,15,10
13,5,5
14,16,5
14,0,5
14,17,5
15,43,5
15,5,5
16,32,5
16,18,10
16,17,5
17,31,10
17,42,10
18,11,5
23,5,5
23,7,5
25,40,10
25,48,5
25,37,5
25,39,10
25,47,5
25,0,5
26,27,5
29,48,5
32,47,5
32,25,5
33,8,5
38,45,10
38,44,10
39,48,5
39,7,5
39,47,5
39,37,5
39,40,5
40,37,5
40,48,5
40,47,10
41,42,5
41,17,5
43,1,5
44,45,10
46,17,5
46,25,5
46,47,5
46,31,5
47,37,5
50,48,5
50,58,10
50,55,10
50,57,10
50,7,5
50,25,5
51,25,5
51,47,5
51,58,10
51,57,10
51,50,5
51,55,10
51,37,5
54,32,5
54,2,5
54,16,5
54,56,5
54,25,5
54,53,5
54,47,5
55,58,10
55,57,10
56,0,5
56,11,5
56,16,5
57,40,5
57,31,5
57,58,10
57,25,5
57,0,5
58,0,5
58,7,5
58,25,5
58,47,5
1,16,1
1,31,1
16,31,1
16,41,1
31,41,1
14,2,1
2,41,1
14,41,1
2,9,1
2,31,1
31,9,1
13,31,1
13,41,1
2,30,1
14,9,1
30,9,1
41,9,1
14,30,1
30,41,1
2,37,1
2,50,1
14,37,1
14,50,1
16,37,1
16,50,1
37,41,1
37,50,1
41,50,1
2,3,1
13,2,1
13,3,1
14,3,1
16,3,1
3,31,1
3,50,1
13,14,1
13,16,1
13,50,1
14,31,1
31,50,1
2,32,1
32,9,1
0,9,1
2,4,1
2,39,1
2,40,1
2,58,1
3,4,1
3,30,1
3,39,1
3,40,1
3,58,1
4,9,1
13,4,1
30,4,1
39,4,1
4,40,1
4,41,1
4,58,1
13,9,1
58,9,1
13,30,1
13,40,1
13,58,1
30,39,1
30,40,1
30,58,1
39,41,1
39,58,1
40,41,1
40,58,1
41,58,1
0,50,1
31,32,1
25,3,1
2,35,1
2,25,1
2,29,1
2,57,1
16,9,1
25,9,1
56,9,1
57,9,1
16,25,1
16,29,1
16,57,1
25,29,1
25,31,1
25,56,1
29,31,1
29,56,1
29,57,1
31,56,1
56,57,1
16,4,1
30,50,1
1,2,1
1,13,1
1,14,1
1,25,1
1,56,1
1,57,1
1,58,1
13,56,1
13,57,1
14,25,1
14,56,1
14,57,1
14,58,1
16,58,1
25,41,1
41,56,1
41,57,1
56,58,1
2,7,1
2,48,1
3,7,1
29,3,1
3,54,1
4,7,1
4,50,1
4,54,1
25,7,1
29,7,1
40,7,1
48,7,1
54,7,1
50,9,1
54,9,1
29,39,1
29,40,1
29,50,1
29,54,1
31,39,1
31,40,1
31,48,1
31,54,1
39,50,1
39,54,1
40,50,1
40,54,1
48,54,1
50,54,1
3,55,1
55,9,1
39,55,1
40,55,1
39,57,1
1,52,1
25,52,1
40,46,1
40,52,1
46,52,1
14,40,1
16,40,1
40,56,1
1,40,1
17,40,1
1,9,1
1,50,1
32,4,1
2,6,1
10,3,1
3,43,1
10,16,1
10,25,1
10,29,1
10,31,1
10,40,1
10,43,1
13,29,1
16,43,1
25,43,1
29,43,1
31,43,1
40,43,1
4,6,1
17,3,1
18,34,1
29,32,1
32,40,1
32,50,1
6,9,1
0,29,1
0,31,1
0,40,1
1,29,1
29,58,1
31,58,1
16,30,1
25,30,1
3,51,1
3,57,1
51,9,1
1,26,1
1,48,1
2,26,1
26,3,1
14,26,1
14,29,1
14,48,1
26,29,1
26,48,1
26,9,1
17,29,1
29,42,1
2,43,1
43,9,1
33,39,1
16,49,1
25,26,1
26,50,1
14,39,1
25,35,1
29,30,1
29,35,1
30,35,1
35,50,1
0,10,1
0,26,1
0,32,1
0,39,1
0,43,1
0,46,1
0,47,1
0,54,1
10,9,1
46,9,1
10,26,1
10,32,1
10,39,1
10,46,1
10,47,1
10,50,1
10,54,1
10,57,1
13,26,1
13,46,1
13,47,1
13,54,1
26,32,1
26,39,1
26,40,1
26,43,1
26,46,1
26,47,1
26,54,1
26,57,1
32,39,1
32,43,1
32,46,1
32,57,1
39,43,1
39,46,1
43,46,1
43,47,1
43,50,1
43,54,1
43,57,1
46,50,1
46,54,1
46,57,1
47,50,1
47,57,1
54,57,1
17,50,1
1,11,1
11,2,1
11,14,1
12,41,1
0,2,1
22,9,1
22,31,1
16,22,1
29,41,1
48,51,1
20,30,1
12,18,1
13,7,1
1,46,1
3,42,1
3,46,1
16,42,1
16,46,1
17,57,1
31,42,1
41,46,1
42,46,1
42,57,1
16,39,1
16,48,1
48,58,1
18,2,1
11,54,1
18,54,1
2,49,1
3,52,1
14,52,1
16,52,1
17,52,1
29,52,1
31,52,1
41,52,1
2,46,1
30,31,1
3,6,1
31,6,1
39,6,1
50,6,1
57,6,1
1,18,1
18,3,1
17,18,1
18,31,1
18,57,1
1,39,1
17,25,1
17,39,1
0,16,1
26,7,1
17,4,1
17,22,1
0,55,1
2,55,1
3,56,1
14,55,1
16,55,1
50,56,1
55,56,1
21,31,1
29,46,1
17,9,1
57,7,1
18,56,1
22,46,1
26,31,1
26,41,1
11,49,1
14,23,1
23,56,1
14,6,1
46,6,1
14,46,1
1,22,1
0,41,1
1,47,1
2,42,1
2,47,1
14,42,1
14,47,1
16,47,1
17,47,1
17,56,1
29,47,1
31,47,1
40,42,1
41,47,1
42,47,1
42,56,1
47,56,1
1,4,1
39,51,1
37,46,1
47,7,1
18,49,1
1,7,1
41,7,1
10,4,1
15,4,1
20,4,1
21,4,1
23,4,1
26,4,1
4,43,1
10,20,1
10,21,1
10,23,1
13,20,1
13,21,1
13,23,1
15,20,1
15,21,1
15,23,1
15,26,1
15,54,1
20,21,1
20,23,1
20,26,1
20,43,1
20,54,1
21,23,1
21,26,1
21,43,1
21,54,1
23,26,1
23,43,1
23,54,1
2,22,1
14,32,1
34,58,1
1,37,1
3,37,1
13,37,1
37,56,1
37,57,1
14,7,1
37,7,1
29,37,1
21,9,1
21,29,1
21,39,1
21,50,1
1,33,1
3,33,1
17,33,1
31,33,1
33,41,1
0,17,1
0,42,1
13,17,1
13,42,1
1,51,1
14,51,1
17,51,1
42,51,1
40,51,1
4,46,1
4,47,1
4,51,1
46,51,1
31,55,1
20,41,1
39,56,1
2,51,1
25,6,1
51,6,1
0,30,1
0,51,1
17,54,1
51,54,1
4,57,1
39,52,1
6,7,1
40,6,1
39,8,1
1,34,1
2,34,1
17,34,1
34,41,1
34,42,1
0,37,1
16,7,1
26,51,1
21,32,1
26,37,1
17,43,1
42,43,1
37,48,1
13,51,1
32,51,1
47,48,1
48,56,1
52,9,1
13,52,1
25,55,1
54,55,1
17,37,1
16,26,1
31,37,1
46,7,1
26,30,1
